,Biomodel name,coverage,automatic annotation,ontology for automatic annotation,manual annotation,ontology for manual annotation
149,BIOMD0000000151,0.21428571428571427,"['Inflammation', 'Activation', 'PP2', 'Jak-STAT Signaling Pathway', 'PP2', 'Pathway', 'Computer Modeling', 'Signaling Pathway', 'Mathematical Model', 'Interleukin-6', 'Signal Transduction', 'Grb2-SHP-2 complex', 'Domain', 'Transcription']","['http://purl.obolibrary.org/obo/NCIT_C3137', 'http://purl.obolibrary.org/obo/NCIT_C64382', 'http://purl.obolibrary.org/obo/CHEBI_78331', 'http://purl.obolibrary.org/obo/NCIT_C91519', 'http://purl.obolibrary.org/obo/CHEBI_78331', 'http://purl.obolibrary.org/obo/NCIT_C54214', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C17132', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C20451', 'http://purl.obolibrary.org/obo/NCIT_C17133', 'http://purl.obolibrary.org/obo/GO_0070720', 'http://purl.obolibrary.org/obo/NCIT_C62289', 'http://purl.obolibrary.org/obo/NCIT_C17208']","[' Ordinary differential equation model,  liver,  hepatocyte,  JAK-STAT cascade,  MAPK cascade,  Eukaryota,  MAPK signaling pathway - Mus musculus (mouse),  Jak-STAT signaling pathway - Mus musculus (mouse),  interleukin-6-mediated signaling pathway']","[' MAMO_0000046,  BTO:0000759,  BTO:0000575,  GO:0007259,  GO:0000165,  2759,  mmu04010,  mmu04630,  GO:0070102']"
0,BIOMD0000000001,0.21428571428571427,"['Biologically Unrelated', 'agonist', 'Detection', 'Kinetics', 'In Vivo', 'Artificial', 'Binding', 'Active State', 'Affinity', 'Peripheral', 'Property of Relationship', 'In Vitro', 'Acetylcholine receptor', 'IC50', 'Other Errors', 'Closed']","['http://purl.obolibrary.org/obo/NCIT_C130053', 'http://purl.obolibrary.org/obo/CHEBI_48705', 'http://purl.obolibrary.org/obo/NCIT_C16210', 'http://purl.obolibrary.org/obo/NCIT_C16770', 'http://purl.obolibrary.org/obo/NCIT_C15744', 'http://purl.obolibrary.org/obo/NCIT_C61464', 'http://purl.obolibrary.org/obo/NCIT_C82888', 'http://purl.obolibrary.org/obo/NCIT_C154405', 'http://purl.obolibrary.org/obo/NCIT_C20604', 'http://purl.obolibrary.org/obo/NCIT_C25233', 'http://purl.obolibrary.org/obo/NCIT_C75915', 'http://purl.obolibrary.org/obo/NCIT_C15263', 'http://purl.obolibrary.org/obo/FMA_67251', 'http://biomodels.net/SBO/SBO_0000288', 'http://purl.obolibrary.org/obo/NCIT_C157026', 'http://purl.obolibrary.org/obo/NCIT_C49070']","[' Tetronarce californica,  neuromuscular synaptic transmission,  transmission of nerve impulse,  cell surface receptor signaling pathway']","[' 7787,  GO:0007274,  GO:0019226,  GO:0007166']"
1,BIOMD0000000002,0.21428571428571427,"['Biologically Unrelated', 'agonist', 'Detection', 'Kinetics', 'In Vivo', 'Artificial', 'Binding', 'Active State', 'Affinity', 'Peripheral', 'Property of Relationship', 'In Vitro', 'Acetylcholine receptor', 'IC50', 'Other Errors', 'Closed']","['http://purl.obolibrary.org/obo/NCIT_C130053', 'http://purl.obolibrary.org/obo/CHEBI_48705', 'http://purl.obolibrary.org/obo/NCIT_C16210', 'http://purl.obolibrary.org/obo/NCIT_C16770', 'http://purl.obolibrary.org/obo/NCIT_C15744', 'http://purl.obolibrary.org/obo/NCIT_C61464', 'http://purl.obolibrary.org/obo/NCIT_C82888', 'http://purl.obolibrary.org/obo/NCIT_C154405', 'http://purl.obolibrary.org/obo/NCIT_C20604', 'http://purl.obolibrary.org/obo/NCIT_C25233', 'http://purl.obolibrary.org/obo/NCIT_C75915', 'http://purl.obolibrary.org/obo/NCIT_C15263', 'http://purl.obolibrary.org/obo/FMA_67251', 'http://biomodels.net/SBO/SBO_0000288', 'http://purl.obolibrary.org/obo/NCIT_C157026', 'http://purl.obolibrary.org/obo/NCIT_C49070']","[' Tetronarce californica,  neuromuscular synaptic transmission,  transmission of nerve impulse,  cell surface receptor signaling pathway']","[' 7787,  GO:0007274,  GO:0019226,  GO:0007166']"
464,BIOMD0000000494,0.21428571428571427,"['Pharmacokinetic Parameters Domain', 'GNRH1 wt Allele', 'agonist', 'Cetrorelix', 'Inhibin B', 'Nafarelin', 'Estradiol', 'Menstrual Cycle', 'Follicle-Stimulating Hormone', 'progesterone', 'Mathematical Model', 'antagonist', 'FSH Cell', 'Inclusion Body', 'Hormonal', 'Modeling', 'Parameter', 'Inhibin A', 'Corpus Luteum']","['http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C52418', 'http://purl.obolibrary.org/obo/CHEBI_48705', 'http://purl.obolibrary.org/obo/NCIT_C2481', 'http://purl.obolibrary.org/obo/NCIT_C2278', 'http://purl.obolibrary.org/obo/NCIT_C61613', 'http://purl.obolibrary.org/obo/NCIT_C2295', 'http://purl.obolibrary.org/obo/NCIT_C16838', 'http://purl.obolibrary.org/obo/NCIT_C181076', 'http://purl.obolibrary.org/obo/CHEBI_17026', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/CHEBI_48706', 'http://purl.obolibrary.org/obo/NCIT_C32641', 'http://purl.obolibrary.org/obo/NCIT_C120945', 'http://purl.obolibrary.org/obo/NCIT_C25528', 'http://purl.obolibrary.org/obo/NCIT_C16063', 'http://purl.obolibrary.org/obo/NCIT_C44175', 'http://purl.obolibrary.org/obo/NCIT_C2277', 'http://purl.obolibrary.org/obo/NCIT_C26465']","[' Ordinary differential equation model,  ovulation cycle,  response to gonadotropin-releasing hormone,  female,  Mammalia,  ovarian disease']","[' MAMO_0000046,  GO:0042698,  GO:0097210,  0001265,  40674,  DOID:1100']"
514,BIOMD0000000546,0.21428571428571427,"['Pharmacokinetic Parameters Domain', 'Tabelecleucel', 'immune response', 'Computer Modeling', 'Epithelial', 'Quantitative Concept', 'Immunity', 'Data Set', 'Rabies-Specific IgM Antibody', 'adaptive immune response', 'Rabies-Specific IgG Antibody', 'Detectable', 'Fitting Problem', 'Kinetics', 'innate behavior design', 'Public Health', 'Modeling', 'Immunoglobulin M', 'Secondary']","['http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C143140', 'http://purl.obolibrary.org/obo/GO_0006955', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C13315', 'http://purl.obolibrary.org/obo/NCIT_C70766', 'http://purl.obolibrary.org/obo/NCIT_C16710', 'http://purl.obolibrary.org/obo/NCIT_C47824', 'http://purl.obolibrary.org/obo/NCIT_C172340', 'http://purl.obolibrary.org/obo/GO_0002250', 'http://purl.obolibrary.org/obo/NCIT_C172339', 'http://purl.obolibrary.org/obo/NCIT_C111567', 'http://purl.obolibrary.org/obo/NCIT_C63142', 'http://purl.obolibrary.org/obo/NCIT_C16770', 'http://www.ebi.ac.uk/efo/EFO_0001749', 'http://purl.obolibrary.org/obo/NCIT_C17039', 'http://purl.obolibrary.org/obo/NCIT_C16063', 'http://purl.obolibrary.org/obo/FMA_62873', 'http://purl.obolibrary.org/obo/NCIT_C25667']","[' adaptive immune response,  Influenza A virus (strain A/X-31 H3N2),  influenza,  innate immune response,  Murinae']","[' GO:0002250,  132504,  DOID:8469,  GO:0045087,  39107']"
427,BIOMD0000000439,0.21428571428571427,"['In Vivo', 'Hydrolysis', 'Saturated Level', 'Regulator', 'Desensitization', 'Inactive', 'GTP', 'Yeast', 'Regulator', 'Binding', 'Inclusion Body']","['http://purl.obolibrary.org/obo/NCIT_C15744', 'http://purl.obolibrary.org/obo/NCIT_C16702', 'http://purl.obolibrary.org/obo/NCIT_C48535', 'http://purl.obolibrary.org/obo/NCIT_C48806', 'http://purl.obolibrary.org/obo/NCIT_C155788', 'http://purl.obolibrary.org/obo/NCIT_C154407', 'http://purl.obolibrary.org/obo/CHEBI_15996', 'http://purl.obolibrary.org/obo/NCIT_C14286', 'http://purl.obolibrary.org/obo/NCIT_C48806', 'http://purl.obolibrary.org/obo/NCIT_C82888', 'http://purl.obolibrary.org/obo/NCIT_C120945']","[' Ordinary differential equation model,  Schizosaccharomyces pombe,  regulation of G-protein coupled receptor protein signaling pathway']","[' MAMO_0000046,  4896,  GO:0008277']"
259,BIOMD0000000262,0.21212121212121213,"['Stimulus', 'Lapatinib', 'Temporal', 'Induced Cataract', 'Epidermal Growth Factor', 'inhibitor', 'Receptor', 'p53 Effector Pathway', 'AKT Signaling Pathway', 'Cell Growth']","['http://purl.obolibrary.org/obo/NCIT_C41210', 'http://purl.obolibrary.org/obo/NCIT_C26653', 'http://purl.obolibrary.org/obo/NCIT_C73990', 'http://purl.obolibrary.org/obo/NCIT_C50614', 'http://purl.obolibrary.org/obo/NCIT_C20425', 'http://purl.obolibrary.org/obo/CHEBI_35222', 'http://purl.obolibrary.org/obo/NCIT_C18106', 'http://purl.obolibrary.org/obo/NCIT_C91572', 'http://purl.obolibrary.org/obo/NCIT_C38981', 'http://purl.obolibrary.org/obo/NCIT_C16402']","[' PI3K/AKT activation,  Signaling by EGFR,  protein kinase B signaling,  epidermal growth factor receptor signaling pathway,  PC-12 cell,  Rattus norvegicus,  cellular response to epidermal growth factor stimulus,  ErbB signaling pathway - Rattus norvegicus (rat)']","[' REACT_12464.1,  REACT_9417.3,  GO:0043491,  GO:0007173,  BTO:0001009,  10116,  GO:0071364,  rno04012']"
603,BIOMD0000000648,0.21212121212121213,"['Uncontrolled', 'Architecture', 'Activate', 'Proliferation', 'Cancer Cell Growth', 'PI3K/AKT1 Signaling Pathway', 'Protein S100-A4', 'Wnt/LRP6 Signaling Pathway', 'ERK Inhibitor', 'Feedback', 'Cell Growth', 'Cross Reaction']","['http://purl.obolibrary.org/obo/NCIT_C48932', 'http://purl.obolibrary.org/obo/NCIT_C16304', 'http://purl.obolibrary.org/obo/NCIT_C28002', 'http://purl.obolibrary.org/obo/NCIT_C28378', 'http://purl.obolibrary.org/obo/NCIT_C19387', 'http://purl.obolibrary.org/obo/NCIT_C91566', 'http://purl.obolibrary.org/obo/NCIT_C102439', 'http://purl.obolibrary.org/obo/NCIT_C39269', 'http://purl.obolibrary.org/obo/NCIT_C174048', 'http://purl.obolibrary.org/obo/NCIT_C82652', 'http://purl.obolibrary.org/obo/NCIT_C16402', 'http://purl.obolibrary.org/obo/NCIT_C96482']","[' Homo sapiens,  regulation of MAPK cascade,  Ordinary differential equation model,  MAPK signaling pathway,  regulation of protein kinase B signaling,  regulation of canonical Wnt signaling pathway,  Wnt signaling pathway,  MAPK cascade,  PI3K-Akt signaling pathway']","[' 9606,  GO:0043408,  MAMO_0000046,  map04010,  GO:0051896,  GO:0060828,  map04310,  GO:0000165,  map04151']"
590,BIOMD0000000635,0.21052631578947367,"['Indirect', 'Adenosine', 'Pathway', 'Basal', 'Synergistic', 'cAMP-mediated signaling', 'ADNI-AVLT Questionnaire Question', 'Activation']","['http://purl.obolibrary.org/obo/NCIT_C62255', 'http://purl.obolibrary.org/obo/NCIT_C207', 'http://purl.obolibrary.org/obo/NCIT_C54214', 'http://purl.obolibrary.org/obo/NCIT_C90067', 'http://purl.obolibrary.org/obo/NCIT_C94380', 'http://purl.obolibrary.org/obo/GO_0019933', 'http://purl.obolibrary.org/obo/NCIT_C101870', 'http://purl.obolibrary.org/obo/NCIT_C64382']","[' dopamine receptor signaling pathway,  dopamine uptake,  G-protein coupled receptor activity,  adenylate cyclase activity,  Ordinary differential equation model,  Mus musculus']","[' GO:0007212,  GO:0090494,  GO:0004930,  GO:0004016,  MAMO_0000046,  10090']"
580,BIOMD0000000625,0.21052631578947367,"['Pharmacokinetic Parameters Domain', 'Induced Cataract', 'Cytokine', 'Interleukin-21', 'TGIF1 Gene', 'Chronic Inflammation', 'Promotion', 'Helicobacter pylori', 'Infectious Disorder', 'Patterns of Care', 'Computer Modeling', 'Sensitivity', 'Retinoid X Receptor', 'Specialized', 'Inflammatory', 'behavioral intervention', 'Stable', 'immune response', 'Immune Dysregulation Disorder', 'Inhibition', 'DNA Stability Analysis', 'cytokine production']","['http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C50614', 'http://purl.obolibrary.org/obo/NCIT_C20464', 'http://purl.obolibrary.org/obo/NCIT_C104346', 'http://purl.obolibrary.org/obo/NCIT_C75417', 'http://purl.obolibrary.org/obo/NCIT_C174450', 'http://purl.obolibrary.org/obo/NCIT_C61391', 'http://purl.obolibrary.org/obo/NCIT_C14289', 'http://purl.obolibrary.org/obo/NCIT_C26726', 'http://purl.obolibrary.org/obo/NCIT_C19155', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C25201', 'http://purl.obolibrary.org/obo/NCIT_C17534', 'http://purl.obolibrary.org/obo/NCIT_C44274', 'http://purl.obolibrary.org/obo/NCIT_C25535', 'http://purl.obolibrary.org/obo/OPMI_0000376', 'http://purl.obolibrary.org/obo/NCIT_C30103', 'http://purl.obolibrary.org/obo/GO_0006955', 'http://purl.obolibrary.org/obo/NCIT_C176595', 'http://purl.obolibrary.org/obo/NCIT_C42791', 'http://purl.obolibrary.org/obo/NCIT_C63329', 'http://purl.obolibrary.org/obo/GO_0001816']","[' Mus musculus,  Ordinary differential equation model,  interspecies interaction between organisms,  gastrointestinal mucosa,  Helicobacter pylori,  duodenal ulcer,  peptic ulcer disease']","[' 10090,  MAMO_0000046,  GO:0044419,  BTO:0005568,  210,  DOID:1724,  DOID:750']"
261,BIOMD0000000264,0.20833333333333334,"['Stimulus', 'Lapatinib', 'Temporal', 'Induced Cataract', 'Epidermal Growth Factor', 'inhibitor', 'Receptor', 'p53 Effector Pathway', 'AKT Signaling Pathway', 'Cell Growth']","['http://purl.obolibrary.org/obo/NCIT_C41210', 'http://purl.obolibrary.org/obo/NCIT_C26653', 'http://purl.obolibrary.org/obo/NCIT_C73990', 'http://purl.obolibrary.org/obo/NCIT_C50614', 'http://purl.obolibrary.org/obo/NCIT_C20425', 'http://purl.obolibrary.org/obo/CHEBI_35222', 'http://purl.obolibrary.org/obo/NCIT_C18106', 'http://purl.obolibrary.org/obo/NCIT_C91572', 'http://purl.obolibrary.org/obo/NCIT_C38981', 'http://purl.obolibrary.org/obo/NCIT_C16402']","[' response to epidermal growth factor,  PI3K/AKT activation,  Signaling by EGFR,  protein kinase B signaling,  epidermal growth factor receptor signaling pathway,  PC-12 cell,  Rattus norvegicus']","[' GO:0070849,  REACT_12464.1,  REACT_9417.3,  GO:0043491,  GO:0007173,  BTO:0001009,  10116']"
770,BIOMD0000000834,0.2,"['Stimulus', 'Pharmacokinetic Parameters Domain', 'Induced Cataract', 'Caco-2 Cell', 'Hepatic Sinusoid', 'Robust', 'Gap Junction', 'Hormone', 'Induced Cataract', 'response to rhododendrol', 'Computer Modeling', 'Patterns of Care', 'Top-Up Model Irradiation', 'Sensitivity', 'Intracellular', 'Computer Modeling', 'Localized', 'Initiation']","['http://purl.obolibrary.org/obo/NCIT_C41210', 'http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C50614', 'http://purl.obolibrary.org/obo/NCIT_C12912', 'http://purl.obolibrary.org/obo/NCIT_C32733', 'http://purl.obolibrary.org/obo/NCIT_C94972', 'http://purl.obolibrary.org/obo/NCIT_C13312', 'http://purl.obolibrary.org/obo/NCIT_C2315', 'http://purl.obolibrary.org/obo/NCIT_C50614', 'http://www.ebi.ac.uk/efo/EFO_0010824', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C19155', 'http://purl.obolibrary.org/obo/NCIT_C161506', 'http://purl.obolibrary.org/obo/NCIT_C25201', 'http://purl.obolibrary.org/obo/NCIT_C28217', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C14146', 'http://purl.obolibrary.org/obo/NCIT_C47938']","[' Homo sapiens,  calcium-mediated signaling,  hepatocyte']","[' 9606,  GO:0019722,  BTO:0000575']"
525,BIOMD0000000557,0.2,"['Modest Extremity Pain', 'Cytosol', 'Regulator', 'Binding', 'ERK Inhibitor', 'ERK Inhibitor', 'cell migration', 'Nucleus', 'Golgi Apparatus']","['http://purl.obolibrary.org/obo/NCIT_C121392', 'http://purl.obolibrary.org/obo/NCIT_C61554', 'http://purl.obolibrary.org/obo/NCIT_C48806', 'http://purl.obolibrary.org/obo/NCIT_C82888', 'http://purl.obolibrary.org/obo/NCIT_C174048', 'http://purl.obolibrary.org/obo/NCIT_C174048', 'http://purl.obolibrary.org/obo/GO_0016477', 'http://purl.obolibrary.org/obo/NCIT_C13197', 'http://purl.obolibrary.org/obo/NCIT_C13238']","[' regulation of ERK1 and ERK2 cascade,  HeLa cell,  Homo sapiens']","[' GO:0070372,  BTO:0000567,  9606']"
210,BIOMD0000000212,0.2,"['In Vivo', 'threonine', 'Integration', 'Mathematical Model', 'Flux', 'Allosteric Potentiator', 'In Vitro', 'Plant Model']","['http://purl.obolibrary.org/obo/NCIT_C15744', 'http://purl.obolibrary.org/obo/CHEBI_26986', 'http://purl.obolibrary.org/obo/NCIT_C48038', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C72076', 'http://purl.obolibrary.org/obo/NCIT_C154903', 'http://purl.obolibrary.org/obo/NCIT_C15263', 'http://purl.obolibrary.org/obo/NCIT_C19169']","[' Arabidopsis thaliana,  aspartate metabolic process']","[' 3702,  GO:0006531']"
83,BIOMD0000000085,0.2,"['Pharmacokinetic Parameters Domain', 'Complex', 'GTPase-Activating Protein', 'Computation', 'Gap', 'Regulator', 'Biochemical']","['http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C19398', 'http://purl.obolibrary.org/obo/NCIT_C17298', 'http://purl.obolibrary.org/obo/NCIT_C61298', 'http://purl.obolibrary.org/obo/NCIT_C80133', 'http://purl.obolibrary.org/obo/NCIT_C48806', 'http://purl.obolibrary.org/obo/NCIT_C25434']","[' cellular organisms,  regulation of G-protein coupled receptor protein signaling pathway']","[' 131567,  GO:0008277']"
777,BIOMD0000000842,0.2,"['Transmitter Device', 'Pharmacokinetic Parameters Domain', 'Hidden', 'Activation', 'GPCR Signaling Pathway', 'Validity', 'Recruitment', 'Desensitization', 'HEK293', 'ERK Inhibitor']","['http://purl.obolibrary.org/obo/NCIT_C50231', 'http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C45671', 'http://purl.obolibrary.org/obo/NCIT_C64382', 'http://purl.obolibrary.org/obo/NCIT_C39001', 'http://purl.obolibrary.org/obo/NCIT_C73623', 'http://purl.obolibrary.org/obo/NCIT_C78343', 'http://purl.obolibrary.org/obo/NCIT_C155788', 'http://www.ebi.ac.uk/efo/EFO_0001182', 'http://purl.obolibrary.org/obo/NCIT_C174048']","[' transmembrane receptor protein serine/threonine kinase signaling pathway,  Homo sapiens,  kidney']","[' GO:0007178,  9606,  BTO:0000671']"
184,BIOMD0000000186,0.2,"['Pharmacokinetic Parameters Domain', 'Attachment', 'Biochemical Reaction', 'Complex', 'Computer Modeling', 'Anaphase', 'Kinetochore', 'Inhibition', 'Binding', 'inhibited', 'Variants File', 'Microtubule']","['http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C86943', 'http://purl.obolibrary.org/obo/NCIT_C19899', 'http://purl.obolibrary.org/obo/NCIT_C19398', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C16286', 'http://purl.obolibrary.org/obo/FMA_84691', 'http://purl.obolibrary.org/obo/NCIT_C42791', 'http://purl.obolibrary.org/obo/NCIT_C82888', 'http://biomodels.net/SBO/SBO_0000642', 'http://purl.obolibrary.org/obo/NCIT_C172881', 'http://purl.obolibrary.org/obo/NCIT_C13256']","[' Mitotic Spindle Checkpoint,  mitotic spindle assembly checkpoint,  Cell cycle - Homo sapiens (human),  Homo sapiens']","[' REACT_2137.2,  GO:0007094,  hsa04110,  9606']"
185,BIOMD0000000187,0.2,"['Pharmacokinetic Parameters Domain', 'Attachment', 'Biochemical Reaction', 'Complex', 'Computer Modeling', 'Anaphase', 'Kinetochore', 'Inhibition', 'Binding', 'inhibited', 'Variants File', 'Microtubule']","['http://purl.obolibrary.org/obo/NCIT_C49607', 'http://purl.obolibrary.org/obo/NCIT_C86943', 'http://purl.obolibrary.org/obo/NCIT_C19899', 'http://purl.obolibrary.org/obo/NCIT_C19398', 'http://purl.obolibrary.org/obo/NCIT_C16461', 'http://purl.obolibrary.org/obo/NCIT_C16286', 'http://purl.obolibrary.org/obo/FMA_84691', 'http://purl.obolibrary.org/obo/NCIT_C42791', 'http://purl.obolibrary.org/obo/NCIT_C82888', 'http://biomodels.net/SBO/SBO_0000642', 'http://purl.obolibrary.org/obo/NCIT_C172881', 'http://purl.obolibrary.org/obo/NCIT_C13256']","[' Mitotic Spindle Checkpoint,  mitotic spindle assembly checkpoint,  Cell cycle - Homo sapiens (human),  Homo sapiens']","[' REACT_2137.2,  GO:0007094,  hsa04110,  9606']"
609,BIOMD0000000655,0.2,"['Uncontrolled', 'Architecture', 'Activate', 'Proliferation', 'Cancer Cell Growth', 'PI3K/AKT1 Signaling Pathway', 'Protein S100-A4', 'Wnt/LRP6 Signaling Pathway', 'ERK Inhibitor', 'Feedback', 'Cell Growth', 'Cross Reaction']","['http://purl.obolibrary.org/obo/NCIT_C48932', 'http://purl.obolibrary.org/obo/NCIT_C16304', 'http://purl.obolibrary.org/obo/NCIT_C28002', 'http://purl.obolibrary.org/obo/NCIT_C28378', 'http://purl.obolibrary.org/obo/NCIT_C19387', 'http://purl.obolibrary.org/obo/NCIT_C91566', 'http://purl.obolibrary.org/obo/NCIT_C102439', 'http://purl.obolibrary.org/obo/NCIT_C39269', 'http://purl.obolibrary.org/obo/NCIT_C174048', 'http://purl.obolibrary.org/obo/NCIT_C82652', 'http://purl.obolibrary.org/obo/NCIT_C16402', 'http://purl.obolibrary.org/obo/NCIT_C96482']","[' Homo sapiens,  Ordinary differential equation model,  MAPK cascade,  MAPK signaling pathway,  Wnt signaling pathway,  PI3K-Akt signaling pathway,  regulation of canonical Wnt signaling pathway,  cancer pathway,  regulation of MAPK cascade,  regulation of protein kinase B signaling']","[' 9606,  MAMO_0000046,  GO:0000165,  map04010,  map04310,  map04151,  GO:0060828,  PW:0000605,  GO:0043408,  GO:0051896']"
557,BIOMD0000000593,0.2,"['Induced Cataract', 'Observed', 'adaptive immune response', 'Documented', 'Therapeutic Procedure', 'Mutant', 'Transcriptional Regulation', 'Intrinsic', 'Naive T-Lymphocyte', 'Robust', 'CD4-Positive T-Lymphocyte', 'Modeling', 'Rosette-Like Configurations Present', 'Methodology', 'Incomplete', 'Micro', 'Intracellular', 'TBX21 wt Allele']","['http://purl.obolibrary.org/obo/NCIT_C50614', 'http://purl.obolibrary.org/obo/NCIT_C25599', 'http://purl.obolibrary.org/obo/GO_0002250', 'http://purl.obolibrary.org/obo/NCIT_C25356', 'http://purl.obolibrary.org/obo/NCIT_C49236', 'http://purl.obolibrary.org/obo/NCIT_C25360', 'http://purl.obolibrary.org/obo/NCIT_C19077', 'http://purl.obolibrary.org/obo/NCIT_C129970', 'http://purl.obolibrary.org/obo/NCIT_C104081', 'http://purl.obolibrary.org/obo/NCIT_C94972', 'http://purl.obolibrary.org/obo/NCIT_C12537', 'http://purl.obolibrary.org/obo/NCIT_C16063', 'http://purl.obolibrary.org/obo/NCIT_C62128', 'http://purl.obolibrary.org/obo/NCIT_C86572', 'http://purl.obolibrary.org/obo/NCIT_C49160', 'http://purl.obolibrary.org/obo/NCIT_C111074', 'http://purl.obolibrary.org/obo/NCIT_C28217', 'http://purl.obolibrary.org/obo/NCIT_C104249']","[' Logical model,  cell differentiation,  Vertebrata']","[' MAMO_0000030,  GO:0030154,  7742']"
610,BIOMD0000000656,0.2,"['Uncontrolled', 'Architecture', 'Activate', 'Proliferation', 'Cancer Cell Growth', 'PI3K/AKT1 Signaling Pathway', 'Protein S100-A4', 'Wnt/LRP6 Signaling Pathway', 'ERK Inhibitor', 'Feedback', 'Cell Growth', 'Cross Reaction']","['http://purl.obolibrary.org/obo/NCIT_C48932', 'http://purl.obolibrary.org/obo/NCIT_C16304', 'http://purl.obolibrary.org/obo/NCIT_C28002', 'http://purl.obolibrary.org/obo/NCIT_C28378', 'http://purl.obolibrary.org/obo/NCIT_C19387', 'http://purl.obolibrary.org/obo/NCIT_C91566', 'http://purl.obolibrary.org/obo/NCIT_C102439', 'http://purl.obolibrary.org/obo/NCIT_C39269', 'http://purl.obolibrary.org/obo/NCIT_C174048', 'http://purl.obolibrary.org/obo/NCIT_C82652', 'http://purl.obolibrary.org/obo/NCIT_C16402', 'http://purl.obolibrary.org/obo/NCIT_C96482']","[' Homo sapiens,  Ordinary differential equation model,  MAPK cascade,  MAPK signaling pathway,  Wnt signaling pathway,  PI3K-Akt signaling pathway,  regulation of canonical Wnt signaling pathway,  cancer pathway,  regulation of MAPK cascade,  regulation of protein kinase B signaling']","[' 9606,  MAMO_0000046,  GO:0000165,  map04010,  map04310,  map04151,  GO:0060828,  PW:0000605,  GO:0043408,  GO:0051896']"
608,BIOMD0000000654,0.2,"['Uncontrolled', 'Architecture', 'Activate', 'Proliferation', 'Cancer Cell Growth', 'PI3K/AKT1 Signaling Pathway', 'Protein S100-A4', 'Wnt/LRP6 Signaling Pathway', 'ERK Inhibitor', 'Feedback', 'Cell Growth', 'Cross Reaction']","['http://purl.obolibrary.org/obo/NCIT_C48932', 'http://purl.obolibrary.org/obo/NCIT_C16304', 'http://purl.obolibrary.org/obo/NCIT_C28002', 'http://purl.obolibrary.org/obo/NCIT_C28378', 'http://purl.obolibrary.org/obo/NCIT_C19387', 'http://purl.obolibrary.org/obo/NCIT_C91566', 'http://purl.obolibrary.org/obo/NCIT_C102439', 'http://purl.obolibrary.org/obo/NCIT_C39269', 'http://purl.obolibrary.org/obo/NCIT_C174048', 'http://purl.obolibrary.org/obo/NCIT_C82652', 'http://purl.obolibrary.org/obo/NCIT_C16402', 'http://purl.obolibrary.org/obo/NCIT_C96482']","[' Homo sapiens,  Ordinary differential equation model,  MAPK cascade,  MAPK signaling pathway,  Wnt signaling pathway,  PI3K-Akt signaling pathway,  regulation of canonical Wnt signaling pathway,  cancer pathway,  regulation of MAPK cascade,  regulation of protein kinase B signaling']","[' 9606,  MAMO_0000046,  GO:0000165,  map04010,  map04310,  map04151,  GO:0060828,  PW:0000605,  GO:0043408,  GO:0051896']"
200,BIOMD0000000202,0.2,"['Influx Constant', 'Activation', 'Quantity', 'Cytoplasm', 'oscillation', 'Sustained Engraftment', 'Property of Relationship', 'Mathematical Model', 'Assembly', 'Plasma Membrane']","['http://purl.obolibrary.org/obo/NCIT_C94915', 'http://purl.obolibrary.org/obo/NCIT_C64382', 'http://purl.obolibrary.org/obo/NCIT_C25256', 'http://purl.obolibrary.org/obo/NCIT_C13226', 'http://identifiers.org/teddy/TEDDY_0000006', 'http://purl.obolibrary.org/obo/NCIT_C111964', 'http://purl.obolibrary.org/obo/NCIT_C75915', 'http://purl.obolibrary.org/obo/NCIT_C16870', 'http://purl.obolibrary.org/obo/NCIT_C63548', 'http://purl.obolibrary.org/obo/NCIT_C13735']","[' cellular organisms,  activation of store-operated calcium channel activity,  release of sequestered calcium ion into cytosol']","[' 131567,  GO:0032237,  GO:0051209']"
